,index,modeldate,current_zscore,projected_zscore,indicator,z_difference
0,1035,6/1/2020,-2.4820740000000003,-1.604007,Average of all six indicators,0.8780670000000004
1,1028,6/2/2020,-2.472658,-1.594591,Average of all six indicators,0.8780669999999999
2,1021,6/3/2020,-2.456775,-1.574034,Average of all six indicators,0.882741
3,1014,6/4/2020,-2.461147,-1.588567,Average of all six indicators,0.8725799999999999
4,1007,6/5/2020,-2.245412,-1.2914379999999999,Average of all six indicators,0.9539740000000001
5,1000,6/6/2020,-2.245412,-1.2987520000000001,Average of all six indicators,0.9466599999999998
6,993,6/7/2020,-2.245412,-1.306065,Average of all six indicators,0.9393469999999999
7,986,6/8/2020,-2.231479,-1.289336,Average of all six indicators,0.9421430000000002
8,979,6/9/2020,-2.241143,-1.3132030000000001,Average of all six indicators,0.92794
9,972,6/10/2020,-2.247849,-1.331934,Average of all six indicators,0.915915
10,965,6/11/2020,-2.318433,-1.459918,Average of all six indicators,0.8585150000000001
11,958,6/12/2020,-2.30326,-1.4408370000000001,Average of all six indicators,0.8624229999999997
12,951,6/13/2020,-2.30326,-1.448024,Average of all six indicators,0.8552359999999999
13,944,6/14/2020,-2.30326,-1.4552100000000001,Average of all six indicators,0.8480499999999997
14,937,6/15/2020,-2.225111,-1.22454,Average of all six indicators,1.000571
15,930,6/16/2020,-2.202931,-1.1946809999999999,Average of all six indicators,1.00825
16,923,6/17/2020,-2.207623,-1.2106,Average of all six indicators,0.997023
17,916,6/18/2020,-2.207323,-1.218024,Average of all six indicators,0.9892990000000002
18,909,6/19/2020,-2.21446,-1.2380440000000001,Average of all six indicators,0.9764159999999997
19,902,6/20/2020,-2.21446,-1.246146,Average of all six indicators,0.9683139999999999
20,895,6/21/2020,-2.21446,-1.254248,Average of all six indicators,0.9602119999999998
21,888,6/22/2020,-2.207207,-1.249933,Average of all six indicators,0.957274
22,881,6/23/2020,-2.20249,-1.249942,Average of all six indicators,0.952548
23,874,6/24/2020,-2.233698,-1.310378,Average of all six indicators,0.9233199999999999
24,867,6/25/2020,-2.221063,-1.2969899999999999,Average of all six indicators,0.9240730000000001
25,860,6/26/2020,-2.2503349999999998,-1.353948,Average of all six indicators,0.8963869999999998
26,853,6/27/2020,-2.2503349999999998,-1.361974,Average of all six indicators,0.8883609999999997
27,846,6/28/2020,-2.2503349999999998,-1.369999,Average of all six indicators,0.8803359999999998
28,839,6/29/2020,-2.2333369999999997,-1.3493709999999999,Average of all six indicators,0.8839659999999998
29,832,6/30/2020,-1.942278,-1.080452,Average of all six indicators,0.861826
