,state,modeldate,candidate_name,pct_estimate
27292,Alabama,2/27/2020,Donald Trump,59.15
27291,Arizona,2/27/2020,Donald Trump,47.7945
27290,California,2/27/2020,Donald Trump,34.665040000000005
27289,Colorado,2/27/2020,Donald Trump,44.27899
27288,Connecticut,2/27/2020,Donald Trump,33.6637
27287,Delaware,2/27/2020,Donald Trump,40.184329999999996
27286,Florida,2/27/2020,Donald Trump,47.271809999999995
27285,Georgia,2/27/2020,Donald Trump,46.95263
27284,Iowa,2/27/2020,Donald Trump,48.46436
27283,Kansas,2/27/2020,Donald Trump,52.47258000000001
27282,Maryland,2/27/2020,Donald Trump,34.98486
27281,Michigan,2/27/2020,Donald Trump,44.27199
27280,Missouri,2/27/2020,Donald Trump,50.75181
27279,Montana,2/27/2020,Donald Trump,56.184090000000005
27278,National,2/27/2020,Donald Trump,45.66114
27277,Nevada,2/27/2020,Donald Trump,41.118140000000004
27276,New Hampshire,2/27/2020,Donald Trump,45.664809999999996
27275,New Jersey,2/27/2020,Donald Trump,36.23097
27274,New Mexico,2/27/2020,Donald Trump,46.47775
27273,New York,2/27/2020,Donald Trump,37.24035
27272,North Carolina,2/27/2020,Donald Trump,45.86123
27271,North Dakota,2/27/2020,Donald Trump,56.98413000000001
27270,Oklahoma,2/27/2020,Donald Trump,63.246959999999994
27269,Pennsylvania,2/27/2020,Donald Trump,45.1782
27268,South Carolina,2/27/2020,Donald Trump,53.29772
27267,Tennessee,2/27/2020,Donald Trump,56.23581
27266,Texas,2/27/2020,Donald Trump,49.07925
27265,Utah,2/27/2020,Donald Trump,50.30001
27264,Virginia,2/27/2020,Donald Trump,43.8237
27263,West Virginia,2/27/2020,Donald Trump,65.98711999999999
27262,Wisconsin,2/27/2020,Donald Trump,46.238209999999995
27261,Alabama,2/27/2020,Joseph R. Biden Jr.,38.4499
27260,Arizona,2/27/2020,Joseph R. Biden Jr.,44.473420000000004
27259,California,2/27/2020,Joseph R. Biden Jr.,59.020790000000005
27258,Colorado,2/27/2020,Joseph R. Biden Jr.,46.77004
27257,Connecticut,2/27/2020,Joseph R. Biden Jr.,53.00606
27256,Delaware,2/27/2020,Joseph R. Biden Jr.,55.893519999999995
27255,Florida,2/27/2020,Joseph R. Biden Jr.,49.339690000000004
27254,Georgia,2/27/2020,Joseph R. Biden Jr.,46.28775
27253,Iowa,2/27/2020,Joseph R. Biden Jr.,45.33012
27252,Kansas,2/27/2020,Joseph R. Biden Jr.,44.29445
27251,Maryland,2/27/2020,Joseph R. Biden Jr.,59.99363
27250,Michigan,2/27/2020,Joseph R. Biden Jr.,47.30275
27249,Missouri,2/27/2020,Joseph R. Biden Jr.,42.6091
27248,Montana,2/27/2020,Joseph R. Biden Jr.,33.8939
27247,National,2/27/2020,Joseph R. Biden Jr.,49.416059999999995
27246,Nevada,2/27/2020,Joseph R. Biden Jr.,46.85218
27245,New Hampshire,2/27/2020,Joseph R. Biden Jr.,48.10881
27244,New Jersey,2/27/2020,Joseph R. Biden Jr.,53.750609999999995
27243,New Mexico,2/27/2020,Joseph R. Biden Jr.,54.952619999999996
27242,New York,2/27/2020,Joseph R. Biden Jr.,55.74725
27241,North Carolina,2/27/2020,Joseph R. Biden Jr.,48.72889
27240,North Dakota,2/27/2020,Joseph R. Biden Jr.,37.9937
27239,Oklahoma,2/27/2020,Joseph R. Biden Jr.,34.70538
27238,Pennsylvania,2/27/2020,Joseph R. Biden Jr.,48.121759999999995
27237,South Carolina,2/27/2020,Joseph R. Biden Jr.,40.73494
27236,Tennessee,2/27/2020,Joseph R. Biden Jr.,39.743759999999995
27235,Texas,2/27/2020,Joseph R. Biden Jr.,45.30089
27234,Utah,2/27/2020,Joseph R. Biden Jr.,31.68508
27233,Virginia,2/27/2020,Joseph R. Biden Jr.,48.86527
27232,West Virginia,2/27/2020,Joseph R. Biden Jr.,30.998409999999996
27231,Wisconsin,2/27/2020,Joseph R. Biden Jr.,45.65282
27230,Alabama,2/28/2020,Donald Trump,59.163059999999994
27229,Arizona,2/28/2020,Donald Trump,47.81053
27228,California,2/28/2020,Donald Trump,34.38754
27227,Colorado,2/28/2020,Donald Trump,44.29586
27226,Connecticut,2/28/2020,Donald Trump,33.67848
27225,Delaware,2/28/2020,Donald Trump,40.19981
27224,Florida,2/28/2020,Donald Trump,47.287040000000005
27223,Georgia,2/28/2020,Donald Trump,46.966390000000004
27222,Iowa,2/28/2020,Donald Trump,48.48043
27221,Kansas,2/28/2020,Donald Trump,52.48843000000001
27220,Maryland,2/28/2020,Donald Trump,34.99982
27219,Michigan,2/28/2020,Donald Trump,44.29195
27218,Mississippi,2/28/2020,Donald Trump,57.23823
27217,Missouri,2/28/2020,Donald Trump,50.76773
27216,Montana,2/28/2020,Donald Trump,56.19981
27215,National,2/28/2020,Donald Trump,45.69081
27214,Nevada,2/28/2020,Donald Trump,41.13773
27213,New Hampshire,2/28/2020,Donald Trump,45.683479999999996
27212,New Jersey,2/28/2020,Donald Trump,36.24607
27211,New Mexico,2/28/2020,Donald Trump,46.49528
27210,New York,2/28/2020,Donald Trump,37.25557
27209,North Carolina,2/28/2020,Donald Trump,45.98571
27208,North Dakota,2/28/2020,Donald Trump,56.99981
27207,Oklahoma,2/28/2020,Donald Trump,63.262119999999996
27206,Pennsylvania,2/28/2020,Donald Trump,45.19855
